CustomerID,Name,Email,Phone,BirthYear,Age,CustomerType
1,Customer1,customer1@example.com,,1978,45,Middle-aged
2,Customer2,customer2@example.com,80067347265,1992,31,Middle-aged
3,Customer3,customer3@example.com,,1960,63,Senior
4,Customer4,customer4@example.com,,1987,36,Middle-aged
5,Customer5,customer5@example.com,76393222685,1971,52,Senior
6,Customer6,customer6@example.com,,1973,50,Middle-aged
7,Customer7,customer7@example.com,,1972,51,Senior
8,Customer8,customer8@example.com,,1989,34,Middle-aged
9,Customer9,customer9@example.com,,1996,27,Young
10,Customer10,customer10@example.com,6605743558,1949,74,Senior
11,Customer11,customer11@example.com,,1978,45,Middle-aged
12,Customer12,customer12@example.com,,2003,20,Young
13,Customer13,customer13@example.com,,1984,39,Middle-aged
14,Customer14,customer14@example.com,,1980,43,Middle-aged
15,Customer15,myuser@example.com,6663432528,1967,56,Senior
16,Customer16,customer16@example.com,,1972,51,Senior
17,Customer17,customer17@example.com,2663739792,1992,31,Middle-aged
18,Customer18,customer18@example.com,87685133612,1989,34,Middle-aged
19,Customer19,customer19@example.com,,1996,27,Young
20,Customer20,customer20@example.com,,1974,49,Middle-aged
21,Customer21,customer21@example.com,87592264152,1978,45,Middle-aged
22,Customer22,customer22@example.com,,2003,20,Young
23,Customer23,customer23@example.com,4896654843,1976,47,Middle-aged
24,Customer24,customer24@example.com,,1995,28,Young
25,Customer25,customer25@example.com,,2004,19,Young
26,Customer26,customer26@example.com,55586292016,1964,59,Senior
27,Customer27,customer27@example.com,84895291878,1975,48,Middle-aged
28,Customer28,customer28@example.com,8632879571,1966,57,Senior
29,Customer29,customer29@example.com,,1976,47,Middle-aged
30,Customer30,customer30@example.com,,1946,77,Senior
31,Customer31,customer31@example.com,,1961,62,Senior
32,Customer32,customer32@example.com,,1968,55,Senior
33,Customer33,customer33@example.com,,1985,38,Middle-aged
34,Customer34,customer34@example.com,,1974,49,Middle-aged
35,Customer35,customer35@example.com,,1997,26,Young
36,Customer36,customer36@example.com,,2001,22,Young
37,Customer37,customer37@example.com,,1946,77,Senior
38,Customer38,customer38@example.com,47868924561,1983,40,Middle-aged
39,Customer39,customer39@example.com,,1989,34,Middle-aged
40,Customer40,customer40@example.com,,1967,56,Senior
41,Customer41,customer41@example.com,13282153454,1993,30,Middle-aged
42,Customer42,customer42@example.com,78391546056,1975,48,Middle-aged
43,Customer43,customer43@example.com,,1990,33,Middle-aged
44,Customer44,customer44@example.com,10483851502,1965,58,Senior
45,Customer45,customer45@example.com,4923066134,1966,57,Senior
46,Customer46,customer46@example.com,,1945,78,Senior
47,Customer47,customer47@example.com,,1970,53,Senior
48,Customer48,customer48@example.com,,1985,38,Middle-aged
49,Customer49,customer49@example.com,1958338574,1945,78,Senior
50,Customer50,customer50@example.com,,1969,54,Senior
51,Customer51,customer51@example.com,,1960,63,Senior
52,Customer52,customer52@example.com,,1983,40,Middle-aged
53,Customer53,customer53@example.com,,1976,47,Middle-aged
54,Customer54,customer54@example.com,74546276450,1952,71,Senior
55,Customer55,customer55@example.com,,1986,37,Middle-aged
56,Customer56,myuser@example.com,,1997,26,Young
57,Customer57,customer57@example.com,,1991,32,Middle-aged
58,Customer58,customer58@example.com,3827326864,1982,41,Middle-aged
59,Customer59,customer59@example.com,,1972,51,Senior
60,Customer60,customer60@example.com,,1985,38,Middle-aged
61,Customer61,customer61@example.com,3249181663,1998,25,Young
62,Customer62,customer62@example.com,7075714304,1969,54,Senior
63,Customer63,customer63@example.com,,1978,45,Middle-aged
64,Customer64,customer64@example.com,,1993,30,Middle-aged
65,Customer65,customer65@example.com,,1968,55,Senior
66,Customer66,customer66@example.com,,1967,56,Senior
67,Customer67,customer67@example.com,71246961698,1956,67,Senior
68,Customer68,customer68@example.com,66518549164,2003,20,Young
69,Customer69,customer69@example.com,,2001,22,Young
70,Customer70,customer70@example.com,15227076791,1950,73,Senior
71,Customer71,customer71@example.com,,2000,23,Young
72,Customer72,customer72@example.com,,1979,44,Middle-aged
73,Customer73,customer73@example.com,7092978125,1988,35,Middle-aged
74,Customer74,customer74@example.com,,1963,60,Senior
75,Customer75,customer75@example.com,,1944,79,Senior
76,Customer76,customer76@example.com,,1951,72,Senior
77,Customer77,customer77@example.com,50229869338,1989,34,Middle-aged
78,Customer78,customer78@example.com,,1959,64,Senior
79,Customer79,myuser@example.com,,1957,66,Senior
80,Customer80,customer80@example.com,6504375736,1955,68,Senior
81,Customer81,customer81@example.com,25065345061,1994,29,Young
82,Customer82,customer82@example.com,2434459815,1966,57,Senior
83,Customer83,customer83@example.com,10164235548,1958,65,Senior
84,Customer84,myuser@example.com,10884004170,1971,52,Senior
85,Customer85,customer85@example.com,50372957197,1977,46,Middle-aged
86,Customer86,customer86@example.com,,1945,78,Senior
87,Customer87,customer87@example.com,32635576592,1975,48,Middle-aged
88,Customer88,customer88@example.com,9959775433,1966,57,Senior
89,Customer89,myuser@example.com,,1965,58,Senior
90,Customer90,customer90@example.com,,1994,29,Young
91,Customer91,customer91@example.com,6799005493,1968,55,Senior
92,Customer92,customer92@example.com,,2001,22,Young
93,Customer93,customer93@example.com,23422185496,2005,18,Young
94,Customer94,customer94@example.com,,2004,19,Young
95,Customer95,customer95@example.com,56944462045,1965,58,Senior
96,Customer96,customer96@example.com,,2001,22,Young
97,Customer97,customer97@example.com,,2001,22,Young
98,Customer98,customer98@example.com,,1965,58,Senior
99,Customer99,customer99@example.com,,1992,31,Middle-aged
100,Customer100,customer100@example.com,58089968683,1995,28,Young
